"BehaviorSpace results (NetLogo 6.3.0)"
"CA 1D Elementary.nlogo"
"1"
"09/14/2023 13:30:17:461 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-512","512","-250","250"
"[run number]","1","2","3","4","5","6"
"OII","true","true","true","true","true","true"
"density","10","10","10","10","10","10"
"OOI","true","true","true","true","true","true"
"IOO","true","true","true","true","true","true"
"background","0","0","0","0","0","0"
"rule","18","22","26","30","45","61"
"III","true","true","true","true","true","true"
"OIO","true","true","true","true","true","true"
"IOI","true","true","true","true","true","true"
"OOO","true","true","true","true","true","true"
"auto-continue?","false","false","false","false","false","false"
"foreground","55","55","55","55","55","55"
"IIO","true","true","true","true","true","true"
"[reporter]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]","count patches with [pcolor = green]"
,"10551","14068","10551","73601","195215","195963"
,"10679","14196","10679","73978","195502","195968"
,"10935","14580","10935","74372","196226","196989"
,"10939","14584","10939","74755","196521","196994"
,"10947","14596","10947","75137","197277","198015"
,"10955","14604","10955","75506","197545","198020"
,"10971","14628","10971","75899","198287","199041"
,"10979","14636","10979","76260","198567","199046"
,"10995","14660","10995","76653","199303","200067"
,"11011","14676","11011","77059","199596","200072"
,"11043","14724","11043","77451","200338","201093"
,"11051","14732","11051","77857","200631","201098"
,"11067","14756","11067","78252","201358","202119"
,"11083","14772","11083","78617","201663","202124"
,"11115","14820","11115","79036","202386","203145"
,"11131","14836","11131","79434","202674","203150"
,"11163","14884","11163","79820","203412","204171"
,"11195","14916","11195","80243","203700","204176"
,"11259","15012","11259","80634","204422","205197"
,"11267","15020","11267","81045","204701","205202"
,"11283","15044","11283","81460","205427","206223"
,"11299","15060","11299","81849","205738","206228"
,"11331","15108","11331","82278","206448","207249"
,"11347","15124","11347","82674","206751","207254"
,"11379","15172","11379","83085","207462","208275"
,"11411","15204","11411","83495","207774","208280"
,"11475","15300","11475","83897","208487","209301"
,"11491","15316","11491","84301","208787","209306"
,"11523","15364","11523","84712","209508","210327"
,"11555","15396","11555","85103","209812","210332"
,"11619","15492","11619","85542","210528","211353"
,"11651","15524","11651","85953","210836","211358"
,"11715","15620","11715","86366","211556","212379"
,"11779","15684","11779","86798","211861","212384"
,"11907","15876","11907","87212","212574","213405"
,"11915","15884","11915","87636","212890","213410"
,"11931","15908","11931","88047","213583","214431"
,"11947","15924","11947","88438","213905","214436"
,"11979","15972","11979","88888","214593","215457"
,"11995","15988","11995","89314","214914","215462"
,"12027","16036","12027","89720","215626","216483"
,"12059","16068","12059","90172","215931","216488"
,"12123","16164","12123","90594","216636","217509"
,"12139","16180","12139","91025","216953","217514"
,"12171","16228","12171","91435","217641","218535"
,"12203","16260","12203","91835","217965","218540"
,"12267","16356","12267","92290","218673","219561"
,"12299","16388","12299","92712","218980","219566"
,"12363","16484","12363","93143","219675","220587"
,"12427","16548","12427","93586","219999","220592"
,"12555","16740","12555","94028","220694","221613"
,"12571","16756","12571","94457","221021","221618"
,"12603","16804","12603","94882","221716","222639"
,"12635","16836","12635","95298","222041","222644"
,"12699","16932","12699","95769","222729","223665"
,"12731","16964","12731","96201","223060","223670"
,"12795","17060","12795","96640","223740","224691"
,"12859","17124","12859","97089","224071","224696"
,"12987","17316","12987","97525","224770","225717"
